record_type,table,column,key,value,primaryKey,businessKey,businessName,grain,allowNoPrimaryKey,exclude,required,logicalType,physicalType,classification,allowedValues,minValue,maxValue,pii,ruleId,ruleName,type,query,metric,mustBe,dimension,severity,description,referencedColumns,failureAction
contract,,,purpose,Validate enhanced PRD1 vault_ready_28 raw source files before silver/vault ingestion.,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,limitations,Generated from synthetic enhanced source data; review business descriptions before approval.,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,usage,Used as an ingestion gate and DQ metadata source for enhanced PRD1 raw.,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,frequency,1,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,frequencyUnit,d,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,latency,24,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,latencyUnit,h,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,retention,7,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,retentionUnit,y,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,teamName,Data Modelling & Engineering CoE,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,firstLevelApprovers,Enhanced Data Owner,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,secondLevelApprovers,Data Governance,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,supportChannel,coe-data-contracts,,,,,,,,,,,,,,,,,,,,,,,,
contract,,,supportUrl,mailto:coe-data-contracts@example-internal,,,,,,,,,,,,,,,,,,,,,,,,
table,account_book.csv,,,,account_ref,account_ref,,,,,,,,,,,,,,,,,,,
table,address_book.csv,,,,address_ref,address_ref,,,,,,,,,,,,,,,,,,,
table,broker_book.csv,,,,src_broker_ref,src_broker_ref,,,,,,,,,,,,,,,,,,,
table,campaign_register.csv,,,,src_campaign_ref,src_campaign_ref,,,,,,,,,,,,,,,,,,,
table,campaign_touch.csv,,,,engagement_ref,engagement_ref,,,,,,,,,,,,,,,,,,,
table,channel_catalog.csv,,,,src_channel_ref,src_channel_ref,,,,,,,,,,,,,,,,,,,
table,claim_register.csv,,,,src_claim_ref,src_claim_ref,,,,,,,,,,,,,,,,,,,
table_rule,claim_register.csv,,,,,,,,,,,,,,,,,,dq_enh_claim_amounts_non_negative,Enhanced claim amounts non-negative,sql,"SELECT COUNT(*) AS invalid_amounts FROM {full_table_name} WHERE (src_claim_amount < 0 OR src_claims_paid < 0 OR src_outstanding_reserve < 0 OR src_claims_expenses < 0) AND {target_watermak_exp}",,"{""invalid_amounts"": 0}",accuracy,error,Enhanced claim financial amount fields must not be negative.,src_claim_amount|src_claims_paid|src_outstanding_reserve|src_claims_expenses,reject
table,comm_preference.csv,,,,preference_ref,preference_ref,,,,,,,,,,,,,,,,,,,
table,complaint_register.csv,,,,src_complaint_ref,src_complaint_ref,,,,,,,,,,,,,,,,,,,
table,consent_snapshot.csv,,,,consent_ref,consent_ref,,,,,,,,,,,,,,,,,,,
table,contact_point.csv,,,,contact_ref,contact_ref,,,,,,,,,,,,,,,,,,,
table,customer_lead_bridge.csv,,,,customer_ref|lead_ref,customer_ref|lead_ref,,,,,,,,,,,,,,,,,,,
table,customer_portfolio.csv,,,,customer_ref,customer_ref,,,,,,,,,,,,,,,,,,,
table,enhanced_address_book.csv,,,,src_address_ref,src_address_ref,,,,,,,,,,,,,,,,,,,
table,enhanced_enrichments.csv,,,,,,Enhanced Enrichments,Sparse grouped enrichment rows across customer marketing motor policy quote and financial extracts.,true,,,,,,,,,,,,,,,,
table,enhanced_person_relationships.csv,,,,,,Enhanced Person Relationships,Sparse grouped relationship rows for broker-person person-address and person-campaign relationships.,true,,,,,,,,,,,,,,,,
table,enhanced_policy_relationships.csv,,,,,,Enhanced Policy Relationships,Sparse grouped relationship rows for claim complaint insured object broker channel policy quote and regulation links.,true,,,,,,,,,,,,,,,,
table,identity_registry.csv,,,,identity_ref,identity_ref,,,,,,,,,,,,,,,,,,,
table,lead_register.csv,,,,lead_ref,lead_ref,,,,,,,,,,,,,,,,,,,
table,override_register.csv,,,,src_override_ref,src_override_ref,,,,,,,,,,,,,,,,,,,
table,party_master.csv,,,,party_ref,party_ref,,,,,,,,,,,,,,,,,,,
table,policy_register.csv,,,,policy_ref,policy_ref,,,,,,,,,,,,,,,,,,,
table,product_catalog.csv,,,,product_ref,product_ref,,,,,,,,,,,,,,,,,,,
table,property_asset.csv,,,,property_ref,property_ref,,,,,,,,,,,,,,,,,,,
table,quote_register.csv,,,,quote_ref,quote_ref,,,,,,,,,,,,,,,,,,,
table,regulation_register.csv,,,,src_regulation_ref,src_regulation_ref,,,,,,,,,,,,,,,,,,,
table,vehicle_asset.csv,,,,vehicle_ref,vehicle_ref,,,,,,,,,,,,,,,,,,,
